eta,f,f',f''
0,0,0,0.3305
0.01,0,0.003305,0.3305
0.02,0.00003305,0.00661,0.3305
0.03,0.00009915,0.009915,0.330499945384875
0.04,0.0001983,0.0132199994538488,0.330499781539527
0.05,0.000330499994538488,0.0165249972692441,0.330499453848994
0.06,0.000495749967230929,0.019829991807734,0.330498907698656
0.07,0.000694049885308269,0.0231349808847206,0.330498088474543
0.08,0.000925399694155475,0.026439961769466,0.330496941563741
0.09,0.00118979931185014,0.0297449311851034,0.330495412354898
0.1,0.00148724862370117,0.0330498853086524,0.330493446238827
0.11,0.00181774747678769,0.0363548197710407,0.330490988609212
0.12,0.0021812956744981,0.0396597296571328,0.330487984863409
0.13,0.00257789297106943,0.0429646095057669,0.33048438040335
0.14,0.0030075390661271,0.0462694533098004,0.330480120636544
0.15,0.0034702335992251,0.0495742545161658,0.330475150977177
0.16,0.00396597614438676,0.0528790060259376,0.330469416847314
0.17,0.00449476620464614,0.0561837001944107,0.330462863678196
0.18,0.00505660320659025,0.0594883288311927,0.330455436911638
0.19,0.00565148649490218,0.0627928832003091,0.330447082001528
0.2,0.00627941532690527,0.0660973540203244,0.330437744415422
0.21,0.00694038886710851,0.0694017314644786,0.330427369636238
0.22,0.0076344061817533,0.072706005160841,0.33041590316405
0.23,0.00836146623336171,0.0760101641924815,0.330403290517982
0.24,0.00912156787528653,0.0793141970976613,0.330389477238197
0.25,0.00991470984626314,0.0826180918700433,0.330374408887987
0.26,0.0107408907649636,0.0859218359589232,0.330358031055963
0.27,0.0116001091245528,0.0892254162694828,0.330340289358338
0.28,0.0124923632872476,0.0925288191630662,0.330321129441314
0.29,0.0134176514788783,0.0958320304574793,0.330300496983562
0.3,0.0143759717834531,0.0991350354273149,0.330278337698803
0.31,0.0153673221377262,0.102437818804303,0.330254597338486
0.32,0.0163917003257692,0.105740364777688,0.330229221694562
0.33,0.0174491039735461,0.109042656994634,0.330202156602358
0.34,0.0185395305434924,0.112344678560658,0.330173347943544
0.35,0.019662977329099,0.115646412040093,0.3301427416492
0.36,0.0208194414494999,0.118947839456585,0.330110283702978
0.37,0.0220089198440658,0.122248942293615,0.330075920144361
0.38,0.023231409267002,0.125549701495059,0.330039597072016
0.39,0.0244869062819526,0.128850097465779,0.330001260647247
0.4,0.0257754072566104,0.132150110072251,0.329960857097535
0.41,0.0270969083573329,0.135449718643226,0.329918332720183
0.42,0.0284514055437652,0.138748901970428,0.329873633886047
0.43,0.0298388945634695,0.142047638309288,0.329826707043368
0.44,0.0312593709465624,0.145345905379722,0.32977749872169
0.45,0.0327128300003596,0.148643680366939,0.329725955535878
0.46,0.034199266804029,0.151940939922298,0.329672024190227
0.47,0.035718676203252,0.1552376601642,0.329615651482661
0.48,0.037271052804894,0.158533816679027,0.329556784309027
0.49,0.0388563909716843,0.161829384522117,0.329495369667476
0.5,0.0404746848169055,0.165124338218792,0.32943135466294
0.51,0.0421259281990934,0.168418651765421,0.329364686511696
0.52,0.0438101147167476,0.171712298630538,0.329295312546019
0.53,0.045527237703053,0.175005251755998,0.329223180218927
0.54,0.047277290220613,0.178297483558187,0.329148237109011
0.55,0.0490602650561949,0.181588965929277,0.329070430925354
0.56,0.0508761547154877,0.184879670238531,0.328989709512537
0.57,0.052724951417873,0.188169567333656,0.328906020855732
0.58,0.0546066470912096,0.191458627542213,0.328819313085879
0.59,0.0565212333666317,0.194746820673072,0.328729534484947
0.6,0.0584687015733624,0.198034116017921,0.328636633491281
0.61,0.0604490427335416,0.201320482352834,0.328540558705033
0.62,0.0624622475570699,0.204605887939884,0.328441258893669
0.63,0.0645083064364687,0.207890300528821,0.328338682997564
0.64,0.0665872094417569,0.211173687358797,0.328232780135675
0.65,0.0686989463153449,0.214456015160154,0.328123499611292
0.66,0.0708435064669464,0.217737250156267,0.328010790917869
0.67,0.0730208789685091,0.221017358065446,0.327894603744931
0.68,0.0752310525491636,0.224296304102895,0.327774887984059
0.69,0.0774740155901926,0.227574052982736,0.327651593734948
0.7,0.07974975612002,0.230850568920085,0.327524671311542
0.71,0.0820582618092209,0.2341258156332,0.32739407124824
0.72,0.0843995199655529,0.237399756345682,0.327259744306174
0.73,0.0867735175290097,0.240672353788744,0.327121641479557
0.74,0.0891802410668971,0.24394357020354,0.326979714002102
0.75,0.0916196767689325,0.247213367343561,0.326833913353509
0.76,0.0940918104423681,0.250481706477096,0.326684191266016
0.77,0.0965966275071391,0.253748548389756,0.32653049973102
0.78,0.0991341129910367,0.257013853387066,0.326372791005759
0.79,0.101704251524907,0.260277581297124,0.326211017620055
0.8,0.104307027337878,0.263539691473325,0.326045132383124
0.81,0.106942424252611,0.266800142797156,0.32587508839044
0.82,0.109610425680583,0.27005889368106,0.32570083903066
0.83,0.112311014617394,0.273315902071367,0.325522337992607
0.84,0.115044173638108,0.276571125451293,0.325339539272304
0.85,0.117809884892621,0.279824520844016,0.325152397180067
0.86,0.120608130101061,0.283076044815817,0.324960866347645
0.87,0.123438890549219,0.286325653479293,0.324764901735414
0.88,0.126302147084012,0.289573302496647,0.324564458639616
0.89,0.129197880108978,0.292818947083043,0.324359492699649
0.9,0.132126069579808,0.296062542010039,0.324149959905399
0.91,0.135086694999908,0.299304041609093,0.323935816604615
0.92,0.138079735415999,0.302543399775139,0.323717019510329
0.93,0.14110516941375,0.305780569970242,0.323493525708311
0.94,0.144162975113452,0.309015505227325,0.323265292664564
0.95,0.147253130165725,0.312248158153971,0.323032278232857
0.96,0.150375611747265,0.3154784809363,0.322794440662285
0.97,0.153530396556628,0.318706425342923,0.322551738604869
0.98,0.156717460810057,0.321931942728972,0.322304131123179
0.99,0.159936780237347,0.325154984040204,0.322051577697988
1,0.163188330077749,0.328375499817184,0.321794038235951
1.01,0.166472085075921,0.331593440199544,0.321531473077307
1.02,0.169788019477916,0.334808754930317,0.321263843003603
1.03,0.173136107027219,0.338021393360353,0.320991109245436
1.04,0.176516320960823,0.341231304452807,0.32071323349021
1.05,0.179928634005351,0.344438436787709,0.320430177889914
1.06,0.183373018373228,0.347642738566608,0.320141905068905
1.07,0.186849445758894,0.350844157617297,0.319848378131704
1.08,0.190357887335067,0.354042641398614,0.3195495606708
1.09,0.193898313749053,0.357238137005322,0.319245416774459
1.1,0.197470695119106,0.360430591173067,0.318935911034536
1.11,0.201075001030837,0.363619950283412,0.318621008554284
1.12,0.204711200533671,0.366806160368955,0.318300674956167
1.13,0.208379262137361,0.369989167118517,0.317974876389662
1.14,0.212079153808546,0.373168915882414,0.317643579539061
1.15,0.21581084296737,0.376345351677805,0.317306751631254
1.16,0.219574296484148,0.379518419194118,0.31696436044351
1.17,0.223369480676089,0.382688062798553,0.316616374311235
1.18,0.227196361304075,0.385854226541665,0.316262762135718
1.19,0.231054903569492,0.389016854163022,0.315903493391852
1.2,0.234945072111122,0.392175889096941,0.315538538135837
1.21,0.238866831002091,0.395331274478299,0.315167867012856
1.22,0.242820143746874,0.398482953148428,0.314791451264721
1.23,0.246804973278358,0.401630867661075,0.314409262737489
1.24,0.250821281954969,0.40477496028845,0.314021273889047
1.25,0.254869031557854,0.40791517302734,0.313627457796657
1.26,0.258948183288127,0.411051447605307,0.313227788164464
1.27,0.26305869776418,0.414183725486952,0.312822239330961
1.28,0.26720053501905,0.417311947880262,0.312410786276411
1.29,0.271373654497853,0.420436055743026,0.311993404630217
1.3,0.275578015055283,0.423555989789328,0.311570070678248
1.31,0.279813574953176,0.42667169049611,0.311140761370107
1.32,0.284080291858137,0.429783098109811,0.310705454326344
1.33,0.288378122839235,0.432890152653074,0.310264127845609
1.34,0.292707024365766,0.43599279393153,0.309816760911747
1.35,0.297066952305081,0.439090961540647,0.309363333200821
1.36,0.301457861920487,0.442184594872655,0.308903825088076
1.37,0.305879707869214,0.445273633123536,0.308438217654825
1.38,0.310332444200449,0.448358015300084,0.307966492695265
1.39,0.31481602435345,0.451437680227037,0.307488632723215
1.4,0.31933040115572,0.454512566554269,0.307004620978776
1.41,0.323875526821263,0.457582612764057,0.306514441434907
1.42,0.328451352948904,0.460647757178406,0.306018078803917
1.43,0.333057830520688,0.463707937966445,0.305515518543867
1.44,0.337694909900352,0.466763093151884,0.305006746864884
1.45,0.342362540831871,0.469813160620533,0.304491750735376
1.46,0.347060672438076,0.472858078127887,0.303970517888155
1.47,0.351789253219355,0.475897783306769,0.303443036826457
1.48,0.356548231052423,0.478932213675034,0.302909296829858
1.49,0.361337553189173,0.481961306643333,0.302369287960088
1.5,0.366157166255606,0.484984999522934,0.301823001066733
1.51,0.371007016250835,0.488003229533601,0.301270427792826
1.52,0.375887048546171,0.491015933811529,0.300711560580326
1.53,0.380797207884286,0.494023049417332,0.300146392675475
1.54,0.385737438378459,0.497024513344087,0.299574918134038
1.55,0.3907076835119,0.500020262525427,0.298997131826421
1.56,0.395707886137154,0.503010233843691,0.298413029442658
1.57,0.400737988475591,0.505994364138118,0.297822607497275
1.58,0.405797932116972,0.508972590213091,0.29722586333402
1.59,0.410887658019103,0.511944848846431,0.296622795130457
1.6,0.416007106507567,0.514911076797736,0.296013401902426
1.61,0.421156217275544,0.51787121081676,0.295397683508362
1.62,0.426334929383712,0.520825187651844,0.29477564065347
1.63,0.43154318126023,0.523772944058379,0.29414727489376
